Customer_ID,Var1,Var2,Group,Category,Rating,Purchased_ABC_product
5518,41.534,12.123,G1,C1,Bronze,0
40515,9.445,0.256,G1,C1,Bronze,0
52697,37.599,3.199,G1,C2,Gold,0
68202,81.514,1.645,G1,C1,Silver,0
130003,46.805,1.706,G1,C1,Silver,0
175229,19.222,2.133,G1,C3,Silver,0
175295,41.091,2.536,G1,C4,Silver,1
181524,96.706,9.295,G1,C1,Gold,1
183955,82.989,5.431,G1,C2,Gold,1
232643,2.009,1.084,G1,C1,Silver,1
241012,16.994,0.298,G1,C1,Bronze,0
242249,73.599,7.032,G1,C2,Silver,1
404966,15.662,1.064,G1,C1,Gold,1
417265,22.799,0,G1,C1,Bronze,0
419000,26.937,2.109,G1,C1,Bronze,1
679877,7.73,0.917,G1,C1,Bronze,0
695148,9.572,0,G1,C1,Bronze,0
699073,2.804,0.168,G1,C1,Bronze,0
720912,26.807,1.382,G1,C1,Bronze,0
721109,27.819,0,G1,C5,Silver,0
731272,7.304,1.004,G1,C1,Bronze,0
735844,22.866,0.572,G1,C1,Bronze,0
738276,74.01,16.692,G1,C3,Gold,0
749060,185.179,10.222,G1,C2,Gold,1
761497,6.438,0.247,G1,C1,Bronze,0
761970,78.627,1.224,G1,C1,Bronze,0
764437,44.314,1.012,G1,C3,Bronze,0
773526,26.868,1.687,G1,C1,Bronze,1
774619,5.491,0.231,G1,C3,Bronze,0
777808,36.349,2.558,G1,C1,Bronze,0
807011,56.444,4.771,G2,C5,Silver,1
828718,6.32,1.631,G1,C3,Bronze,1
828848,5.608,0,G1,C1,Bronze,0
833226,287.706,16.352,G3,C1,Gold,1
840606,52.002,2.203,G1,C5,Silver,0
861783,92.413,9.541,G1,C5,Gold,1
1219766,11.559,2.84,G1,C4,Bronze,1
1229151,163.987,7.071,G1,C2,Gold,1
1271035,38.916,1.117,G1,C3,Gold,0
1271374,8.494,0,G4,C1,Bronze,0
1281358,20.524,2.321,G5,C1,Bronze,0
1339951,12.936,0.28,G1,C1,Bronze,0
1346029,38.231,1.569,G1,C3,Silver,1
1347141,43.768,5.298,G1,C3,Silver,1
1348404,193.852,28.063,G1,C5,Silver,1
1364536,24.318,2.772,G1,C3,Silver,1
1365159,105.243,12.441,G1,C3,Silver,0
1365638,37.973,3.015,G1,C1,Bronze,1
1575603,2.51,0,G1,C1,Bronze,0
1623950,5.516,0.374,G1,C1,Bronze,1
1755088,75.771,5.527,G1,C1,Silver,1
1817854,17.323,1.402,G1,C1,Silver,1
1827068,11.605,0,G1,C1,Bronze,0
1829876,46.104,4.471,G1,C3,Silver,0
1834382,9.418,1.755,G1,C5,Gold,1
1835592,70.409,3.87,G6,C1,Bronze,1
1860619,51.547,8.42,G1,C1,Bronze,1
1873115,20.272,2.39,G1,C1,Bronze,1
1873759,42.25,0.552,G1,C1,Bronze,0
1880022,3.934,0,G1,C1,Bronze,0
1882962,17.93,2.289,G1,C1,Bronze,1
1888269,29.622,6.309,G1,C1,Silver,1
1893949,5.431,1.67,G1,C3,Gold,0
1899734,52.092,4.41,G1,C3,Bronze,0
1903659,58.042,1.068,G1,C1,Silver,0
1908289,16.1,0,G1,C1,Bronze,0
1909276,5.706,0.334,G1,C4,Bronze,1
1914816,235.732,10.561,G3,C2,Gold,1
1919587,12.809,2.038,G1,C2,Silver,1
1928802,17.135,1.572,G1,C1,Bronze,0
1933892,5.201,0,G1,C1,Bronze,0
1934474,32.716,7.803,G1,C3,Bronze,0
1960751,28.479,1.5,G1,C3,Silver,1
1980510,9.774,1.706,G1,C1,Bronze,0
1984769,12.632,0,G1,C1,Bronze,0
1988717,39.828,1.626,G1,C1,Silver,0
1993444,9.274,3.643,G1,C3,Silver,1
2008576,51.065,4.572,G5,C1,Silver,0
2105675,18.826,3.535,G5,C3,Silver,1
2112882,10.66,0,G5,C4,Bronze,0
2143759,5.33,1.003,G1,C3,Bronze,0
2179713,28.224,2.232,G5,C1,Bronze,1
2182747,16.424,0.917,G1,C1,Bronze,0
2208843,64.35,9.463,G5,C1,Bronze,1
2237349,56.69,1.272,G1,C1,Silver,0
2243955,14.926,1.949,G6,C1,Bronze,1
2253413,64.58,5.698,G1,C3,Bronze,0
2283093,5.059,0.861,G1,C1,Bronze,1
2285737,13.235,2.514,G1,C3,Silver,1
2359159,66.38,5.105,G6,C1,Bronze,1
2385685,55.428,2.56,G1,C1,Silver,1
2390617,19.336,2.169,G1,C1,Bronze,1
2466215,63.672,6.003,G1,C1,Bronze,1
2468677,41.023,3.966,G1,C2,Gold,0
3191509,39.369,0.492,G1,C3,Silver,0
3214865,29.252,0.434,G5,C1,Bronze,0
3223622,0.81,0,G5,C1,Bronze,0
3499247,101.716,7.564,G5,C3,Bronze,0
3585939,178.952,31.786,G1,C5,Gold,1
3883399,105.549,6.643,G5,C2,Gold,1
4313092,1.482,1.591,G5,C4,Bronze,1
4394548,177.29,22.074,G1,C2,Gold,1
4402402,113.398,4.917,G1,C1,Silver,1
4418931,36.228,4.527,G6,C1,Silver,1
4421825,148.884,12.668,G3,C5,Gold,1
4440983,30.831,1.243,G1,C3,Silver,1
4450754,11.867,3.279,G5,C4,Bronze,0
4490611,180.736,13.609,G5,C2,Gold,1
4516227,3.556,0.248,G1,C1,Bronze,0
4520741,233.32,21.697,G1,C2,Gold,1
4524382,12.187,0,G1,C3,Bronze,0
4528141,5.269,1.501,G5,C4,Bronze,1
4616075,41.204,5.256,G1,C1,Bronze,0
4616948,12.486,0.225,G1,C3,Bronze,0
4627758,212.263,17.624,G5,C5,Gold,1
4659548,91.3,7.052,G1,C2,Silver,1
4660974,204.297,24.037,G1,C2,Gold,1
4683168,272.647,23.426,G3,C2,Gold,1
4727234,140.274,8.584,G1,C2,Gold,1
4862919,22.421,4.395,G5,C1,Bronze,0
4868583,6.674,2.2,G5,C4,Bronze,1
4895898,13.76,0,G5,C5,Bronze,0
4914702,28.575,5.979,G4,C1,Bronze,1
4919334,229.157,7.714,G1,C2,Gold,1
4922409,7.372,0,G5,C1,Bronze,0
4926103,5.543,0.974,G1,C1,Bronze,0
5027661,14.61,1.472,G5,C4,Bronze,1
5174627,8.898,3.229,G5,C3,Bronze,0
5231666,76.091,10.899,G5,C5,Silver,1
5431974,45.809,5.002,G1,C1,Bronze,0
5827250,16.72,2.232,G5,C4,Bronze,1
6116391,124.475,6.945,G5,C2,Gold,1
6175124,25.219,1.283,G1,C1,Silver,0
6401692,46.948,1.396,G5,C1,Silver,0
6438332,20.082,0.702,G5,C3,Bronze,0
6493576,72.911,9.609,G5,C3,Silver,1
6553856,19.779,1.251,G5,C5,Silver,0
6593446,13.475,0.391,G1,C1,Bronze,0
6598922,47.494,5.743,G1,C1,Bronze,1
6618841,7.782,0.214,G5,C1,Bronze,0
6661309,26.417,6.699,G5,C1,Bronze,1
6701226,12.637,3.943,G1,C1,Bronze,0
6838298,58.987,5.297,G1,C1,Silver,1
6847650,159.917,9.624,G5,C5,Gold,1
6848449,33.958,2.644,G5,C1,Silver,1
6860473,23.118,2.959,G5,C1,Bronze,1
6977361,19.163,2.523,G1,C1,Bronze,1
7003906,81.42,3.27,G5,C1,Gold,1
7010403,38.268,1.477,G5,C1,Gold,1
7076695,21.479,3.178,G5,C3,Bronze,0
7166154,8.434,1.006,G5,C4,Bronze,1
7168221,32.252,0.554,G5,C1,Bronze,0
7172058,56.216,1.364,G5,C1,Bronze,0
7186418,15.349,1.284,G5,C1,Bronze,1
8928,9.74,2.402,G1,C4,Bronze,0
18218,5.978,0,G2,C4,Bronze,0
87982,109.055,3.725,G1,C3,Silver,1
135376,36.567,1.698,G1,C5,Silver,1
148880,140.348,11.371,G1,C3,Silver,1
150414,46.307,2.265,G1,C3,Bronze,0
151324,20.364,0,G1,C1,Bronze,0
164704,2.588,0,G1,C1,Silver,0
173929,5.028,0,G2,C3,Silver,0
183993,48.485,0.475,G1,C3,Gold,0
199222,5.09,0.221,G1,C1,Bronze,0
235315,48.467,1.309,G1,C3,Silver,0
240917,30.254,0.385,G1,C1,Bronze,0
373597,16.368,1.662,G1,C1,Bronze,0
373941,16.896,0.332,G1,C3,Bronze,0
383105,13.832,0,G1,C1,Bronze,0
389063,14.624,0.326,G1,C1,Bronze,0
432694,41.416,1.578,G1,C3,Bronze,0
455391,67.434,2.831,G1,C1,Silver,0
679383,10.284,0,G1,C1,Bronze,0
695172,96.548,0.223,G1,C2,Gold,0
723436,81.971,4.739,G1,C1,Silver,0
731255,101.007,4,G3,C2,Gold,0
737339,24.709,1.895,G1,C1,Bronze,1
737348,5.574,0,G1,C1,Bronze,0
760068,27.282,2.802,G1,C1,Silver,1
827598,38.708,3.011,G1,C3,Silver,1
835131,256.149,37.809,G3,C2,Gold,1
837506,42.633,8.708,G1,C3,Silver,0
839201,11.993,0.273,G1,C2,Bronze,0
1243191,14.313,0.157,G5,C1,Bronze,0
1324157,7.382,3.341,G1,C3,Bronze,1
1325037,14.581,1.378,G1,C1,Silver,1
1571547,46.626,4.837,G1,C1,Bronze,1
1620983,17.897,1.187,G1,C3,Bronze,0
